[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.IndexServer>: Inicio de la aplicación
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.properties.PropertiesProcessor>: Procesando propiedades del archivo server.properties
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.properties.PropertiesProcessor>: Valor de la propiedad "outputFile" es: "salida".
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.properties.PropertiesProcessor>: Procesando propiedades del archivo server.properties
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.properties.PropertiesProcessor>: Valor de la propiedad "inputFolder" es: "entrada".
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.IndexServer>: Fichero de salida: salida | Carpeta de entrada: entrada
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.threads.Dispatcher>: Carpeta ya existe
[2023-12-11 12:33:53](INFO)<psp.unidad02.actividad205.threads.Dispatcher>: Monitoreando carpeta: entrada
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.threads.Dispatcher>: Archivo detectado
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.threads.Dispatcher>: Archivo es txt (entrada\prueba1.txt). Creando hilo
[[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.threads.Dispatcher>: Hilo worker creado. Worker nº1
2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.threads.WorkerThread>: Hilo worker empezando. ID: 1
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "aprende"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "java"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "con"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "ejercicios"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "es"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "un"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "manual"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "práctico"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "para"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "aprender"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "a"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "programar"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "en"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "java"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "desde"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "cero"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "no"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "es"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "necesario"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "tener"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "conocimientos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "previos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "de"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "programación"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "la"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "dificultad"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "del"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "libro"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "es"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "gradual"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "empieza"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "con"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "conceptos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "muy"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "básicos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "y"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "ejercicios"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "muy"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "sencillos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "y"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "va"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "aumentando"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "en"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "complejidad"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "y"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "dificultad"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "a"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "medida"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "que"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "avanzan"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "los"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "capítulos"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "la"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "práctica"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "hace"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "al"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "maestro"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "como"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "de"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "verdad"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "se"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "aprende"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "a"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "programar"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "es"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "programando"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "desde"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "el"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "principio"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "y"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "esa"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "es"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "la"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "filosofía"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "que"
[2023-12-11 12:34:17](INFO)<psp.unidad02.actividad205.indexes.SharedIndex>: Añadiendo índice a la palabra: "sigue"
